GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transaction_service,com.nttdata.transaction_service.business.credit,CreditServiceImp,12,3,0,0,2,1,1,1,1,1
transaction_service,com.nttdata.transaction_service.business.credit,CreditClient,0,9,0,0,0,2,0,2,0,2
transaction_service,com.nttdata.transaction_service.dto.account,AccountResponseCreateDTO,569,0,78,0,32,0,73,0,34,0
transaction_service,com.nttdata.transaction_service.dto.account,AccountCardDTO,3,0,0,0,1,0,1,0,1,0
transaction_service,com.nttdata.transaction_service.mapper,CreditMapper,54,0,4,0,14,0,5,0,2,0
transaction_service,com.nttdata.transaction_service.mapper,ProductMapper,89,0,16,0,23,0,11,0,3,0
transaction_service,com.nttdata.transaction_service.mapper,AccountMapper,49,0,4,0,13,0,5,0,2,0
transaction_service,com.nttdata.transaction_service.mapper,TransactionMapper,303,0,32,0,72,0,24,0,8,0
transaction_service,com.nttdata.transaction_service.mapper,PersonMapper,96,0,24,0,25,0,15,0,3,0
transaction_service,com.nttdata.transaction_service.util,TransactionNotFoundException,11,0,0,0,4,0,2,0,2,0
transaction_service,com.nttdata.transaction_service.business,TransactionApiDelegateImp,437,7,3,0,85,2,40,2,38,2
transaction_service,com.nttdata.transaction_service.business.account,AccountClient,0,9,0,0,0,2,0,2,0,2
transaction_service,com.nttdata.transaction_service.business.account,AccountServiceImp,13,3,0,0,2,1,1,1,1,1
transaction_service,com.nttdata.transaction_service.dto.client,ClientResponseDTO,3,0,0,0,1,0,1,0,1,0
transaction_service,com.nttdata.transaction_service.model.entity,PersonEntity,195,0,38,0,5,0,32,0,13,0
transaction_service,com.nttdata.transaction_service.model.entity,Transaction,375,0,66,0,10,0,56,0,23,0
transaction_service,com.nttdata.transaction_service.model.entity,ProductEntity,219,0,34,0,6,0,32,0,15,0
transaction_service,com.nttdata.transaction_service.dto.credit,CreditResponseDTO,488,0,76,0,25,0,65,0,27,0
transaction_service,com.nttdata.transaction_service.dto.credit,CreditCardDTO,3,0,0,0,1,0,1,0,1,0
transaction_service,com.nttdata.transaction_service.api,TransactionsApiController,3,13,0,0,1,3,1,1,1,1
transaction_service,com.nttdata.transaction_service.api,TransactionsApiController.new TransactionsApiDelegate() {...},0,6,0,0,0,1,0,1,0,1
transaction_service,com.nttdata.transaction_service.api,TransactionsApiDelegate,272,0,28,0,67,0,23,0,9,0
transaction_service,com.nttdata.transaction_service.api,TransactionsApi,57,0,0,0,9,0,9,0,9,0
transaction_service,com.nttdata.transaction_service.api,ApiUtil,15,0,0,0,2,0,2,0,2,0
transaction_service,com.nttdata.transaction_service.api,TransactionsApi.new TransactionsApiDelegate() {...},6,0,0,0,1,0,1,0,1,0
